code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00700,N/A,2023-10-06 00:00:00,303.8,305.2,307.4,301.8,13.798,0.00116,11076858,3377586513.0,1.8012008005336815,299.8
HK.00700,N/A,2023-10-09 00:00:00,305.4,307.0,308.8,302.0,13.88,0.0012,11396304,3494379463.0,0.5897771952817862,305.2
HK.00700,N/A,2023-10-10 00:00:00,308.0,308.2,314.8,306.0,13.934,0.00173,16445252,5092537962.0,0.39087947882735785,307.0
HK.00700,N/A,2023-10-11 00:00:00,314.0,311.0,314.6,310.4,14.06,0.00172,16424531,5127315924.0,0.9085009733939038,308.2
HK.00700,N/A,2023-10-12 00:00:00,316.6,316.6,317.2,314.8,14.314,0.00141,13451541,4253651016.0,1.8006430868167274,311.0
HK.00700,N/A,2023-10-13 00:00:00,312.8,306.8,313.0,305.4,13.871,0.0014,13367440,4126234792.0,-3.095388502842707,316.6
HK.00700,N/A,2023-10-16 00:00:00,308.8,301.2,308.8,300.2,13.617,0.00131,12452816,3763941347.0,-1.825293350717087,306.8
HK.00700,N/A,2023-10-17 00:00:00,304.6,302.2,304.6,300.0,13.663,0.00097,9202480,2778330474.0,0.33200531208499334,301.2
HK.00700,N/A,2023-10-18 00:00:00,300.2,300.0,301.6,297.4,13.563,0.00126,12001017,3597465826.0,-0.7279947054930472,302.2
HK.00700,N/A,2023-10-19 00:00:00,295.4,291.2,297.6,291.2,13.165,0.00181,17216427,5071175711.0,-2.933333333333337,300.0
HK.00700,N/A,2023-10-20 00:00:00,287.4,289.0,290.2,286.2,13.066,0.00202,19212180,5532516610.0,-0.7554945054945016,291.2
HK.00700,N/A,2023-10-24 00:00:00,287.0,283.0,289.8,282.6,12.795,0.00227,21619960,6162879368.0,-2.0761245674740483,289.0
HK.00700,N/A,2023-10-25 00:00:00,292.4,287.8,296.4,285.2,13.012,0.00184,17506229,5096837025.0,1.696113074204951,283.0
HK.00700,N/A,2023-10-26 00:00:00,286.8,287.6,290.2,283.0,13.002,0.0012,11446711,3278486902.0,-0.0694927032661531,287.8
HK.00700,N/A,2023-10-27 00:00:00,287.6,292.8,294.6,287.0,13.238,0.00173,16455031,4795573277.0,1.8080667593880348,287.6
HK.00700,N/A,2023-10-30 00:00:00,291.6,295.4,297.8,290.8,13.355,0.00151,14357754,4228011953.0,0.8879781420764911,292.8
HK.00700,N/A,2023-10-31 00:00:00,295.4,289.2,295.4,288.0,13.075,0.00144,13727382,3984600481.0,-2.098849018280294,295.4
HK.00700,N/A,2023-11-01 00:00:00,288.8,287.0,290.0,284.4,12.975,0.00116,11006036,3157915344.0,-0.760719225449512,289.2
HK.00700,N/A,2023-11-02 00:00:00,290.0,288.6,294.2,286.8,13.048,0.0011,10477412,3037345195.0,0.5574912891986141,287.0
HK.00700,N/A,2023-11-03 00:00:00,292.2,302.6,304.2,291.4,13.681,0.00226,21575201,6455647414.0,4.85100485100485,288.6
HK.00700,N/A,2023-11-06 00:00:00,309.8,312.6,314.2,307.2,14.133,0.00282,26863379,8358214297.0,3.304692663582286,302.6
HK.00700,N/A,2023-11-07 00:00:00,312.6,308.6,314.0,306.2,13.923,0.00141,13397743,4143070769.0,-1.2795905310300704,312.6
HK.00700,N/A,2023-11-08 00:00:00,309.4,308.4,314.6,307.4,13.914,0.00135,12879809,4001595292.0,-0.06480881399871856,308.6
HK.00700,N/A,2023-11-09 00:00:00,305.0,306.8,308.8,305.0,13.842,0.00108,10272208,3148081937.0,-0.5188067444876673,308.4
HK.00700,N/A,2023-11-10 00:00:00,304.6,302.8,304.6,301.2,13.661,0.00104,9871831,2987541086.0,-1.3037809647979137,306.8
HK.00700,N/A,2023-11-13 00:00:00,302.2,309.8,311.8,300.2,13.977,0.00143,13586029,4154169988.0,2.3117569352708056,302.8
HK.00700,N/A,2023-11-14 00:00:00,311.8,307.8,312.0,305.6,13.887,0.00131,12477388,3842261223.0,-0.6455777921239509,309.8
HK.00700,N/A,2023-11-15 00:00:00,316.6,322.6,323.6,314.0,14.555,0.00341,32454690,10350836032.0,4.808317089018846,307.8
HK.00700,N/A,2023-11-16 00:00:00,330.0,324.8,330.0,316.2,14.654,0.00371,35296026,11408055349.0,0.6819590824550492,322.6
HK.00700,N/A,2023-11-17 00:00:00,323.6,315.2,323.6,313.2,14.221,0.00231,21970164,6964405195.0,-2.9556650246305485,324.8
HK.00700,N/A,2023-11-20 00:00:00,316.2,326.6,328.8,316.2,14.735,0.00292,27782719,9006002433.0,3.616751269035544,315.2
HK.00700,N/A,2023-11-21 00:00:00,330.4,324.8,332.6,323.6,14.654,0.00254,24188659,7943866990.0,-0.5511328842620977,326.6
HK.00700,N/A,2023-11-22 00:00:00,328.0,324.4,330.0,322.0,14.636,0.00149,14169841,4616781447.0,-0.1231527093596164,324.8
HK.00700,N/A,2023-11-23 00:00:00,326.6,329.2,329.6,323.6,14.853,0.00153,14531153,4757635404.0,1.479654747225651,324.4
HK.00700,N/A,2023-11-24 00:00:00,329.6,321.2,329.6,320.0,14.492,0.0016,15236522,4930730514.0,-2.4301336573511545,329.2
HK.00700,N/A,2023-11-27 00:00:00,325.0,322.8,325.0,318.0,14.564,0.00129,12232068,3932052873.0,0.49813200498132715,321.2
HK.00700,N/A,2023-11-28 00:00:00,324.4,319.6,324.4,317.0,14.42,0.00159,15153725,4845979129.0,-0.9913258983890918,322.8
HK.00700,N/A,2023-11-29 00:00:00,323.0,317.0,324.0,313.6,14.303,0.00177,16856744,5350805912.0,-0.8135168961201573,319.6
HK.00700,N/A,2023-11-30 00:00:00,317.4,327.0,327.0,317.0,14.754,0.00319,30308092,9825334888.0,3.1545741324921135,317.0
HK.00700,N/A,2023-12-01 00:00:00,324.8,319.0,325.8,319.0,14.393,0.00159,15149684,4879489488.0,-2.4464831804281344,327.0
HK.00700,N/A,2023-12-04 00:00:00,323.0,316.8,324.2,315.2,14.294,0.00157,14907238,4757921362.0,-0.6896551724137895,319.0
HK.00700,N/A,2023-12-05 00:00:00,321.0,308.8,321.0,305.0,13.933,0.0025,23730039,7365272819.0,-2.525252525252525,316.8
HK.00700,N/A,2023-12-06 00:00:00,306.6,311.6,314.8,302.4,14.059,0.00167,15896242,4923099459.0,0.9067357512953403,308.8
HK.00700,N/A,2023-12-07 00:00:00,309.0,307.8,311.2,304.0,13.888,0.00144,13703651,4202919809.0,-1.2195121951219547,311.6
HK.00700,N/A,2023-12-08 00:00:00,307.4,305.6,309.2,301.0,13.788,0.00175,16600566,5058680831.0,-0.7147498375568514,307.8
