code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,symbol
SZ.002466,N/A,2023-10-24 00:00:00,52.7,53.39,54.6,52.58,4.327,0.01811,26712121,1430953260.34,1.5405096995055199,52.58,SZ.002466
SZ.002466,N/A,2023-10-25 00:00:00,53.91,52.9,54.33,52.82,4.287,0.01436,21182856,1131909119.66,-0.9177748642067839,53.39,SZ.002466
SZ.002466,N/A,2023-10-26 00:00:00,52.25,52.4,52.45,51.31,4.247,0.01752,25836959,1337132215.26,-0.945179584120983,52.9,SZ.002466
SZ.002466,N/A,2023-10-27 00:00:00,51.99,55.6,56.09,51.34,5.618,0.04039,59564672,3257464420.15,6.106870229007639,52.4,SZ.002466
SZ.002466,N/A,2023-10-30 00:00:00,54.8,55.9,56.27,54.68,5.648,0.01957,28862077,1609571864.47,0.5395683453237359,55.6,SZ.002466
SZ.002466,N/A,2023-10-31 00:00:00,55.2,55.0,55.53,54.44,5.557,0.01909,28158620,1544854422.04,-1.610017889087654,55.9,SZ.002466
SZ.002466,N/A,2023-11-01 00:00:00,54.89,53.61,54.89,53.21,5.417,0.01549,22844177,1229711364.42,-2.5272727272727282,55.0,SZ.002466
SZ.002466,N/A,2023-11-02 00:00:00,53.61,52.45,53.88,52.41,5.3,0.01403,20694351,1095376556.06,-2.163775415034502,53.61,SZ.002466
SZ.002466,N/A,2023-11-03 00:00:00,52.81,53.04,53.33,52.41,5.359,0.01289,19007204,1004783864.07,1.1248808388941778,52.45,SZ.002466
SZ.002466,N/A,2023-11-06 00:00:00,53.3,54.96,55.5,53.21,5.553,0.02568,37867079,2064300053.48,3.6199095022624466,53.04,SZ.002466
SZ.002466,N/A,2023-11-07 00:00:00,54.42,54.7,54.84,53.84,5.527,0.01476,21763319,1182698197.44,-0.47307132459970525,54.96,SZ.002466
SZ.002466,N/A,2023-11-08 00:00:00,54.5,54.8,55.32,54.24,5.537,0.01609,23735567,1302029550.24,0.18281535648993474,54.7,SZ.002466
SZ.002466,N/A,2023-11-09 00:00:00,54.6,55.09,55.88,54.5,5.566,0.01786,26340738,1454431801.52,0.5291970802919823,54.8,SZ.002466
SZ.002466,N/A,2023-11-10 00:00:00,54.6,54.66,55.5,54.21,5.523,0.01497,22081527,1210029734.14,-0.7805409330187091,55.09,SZ.002466
SZ.002466,N/A,2023-11-13 00:00:00,54.6,54.16,55.07,54.0,5.472,0.01142,16845086,915455858.48,-0.9147457006952069,54.66,SZ.002466
SZ.002466,N/A,2023-11-14 00:00:00,54.1,53.62,54.38,53.36,5.418,0.01253,18476643,993292156.42,-0.9970457902511063,54.16,SZ.002466
SZ.002466,N/A,2023-11-15 00:00:00,54.71,55.54,56.36,54.5,5.612,0.03714,54770713,3052688154.43,3.5807534502051506,53.62,SZ.002466
SZ.002466,N/A,2023-11-16 00:00:00,55.03,54.15,55.43,54.15,5.471,0.01883,27772095,1516952857.62,-2.5027007562117407,55.54,SZ.002466
